Index,DistrictCode,County,Population,RepVotes,DemVotes,VoteDifference
0,1,ALCONA,10351,4201,1732,2469
1,1,ALGER,9121,2585,1663,922
2,6,ALLEGAN,116447,34183,18050,16133
3,1,ALPENA,28462,9090,4877,4213
4,1,ANTRIM,23292,8469,4448,4021
5,5,ARENAC,15045,4950,2384,2566
6,1,BARAGA,8441,2158,1156,1002
7,3,BARRY,60586,19202,9114,10088
8,5,BAY,104239,28328,21642,6686
9,1,BENZIE,17573,5539,4108,1431
10,6,BERRIEN,154259,38647,29495,9152
11,7,BRANCH,43410,11786,5061,6725
12,3,CALHOUN,134128,31494,24157,7337
13,6,CASS,51381,14243,7270,6973
14,1,CHARLEVOIX,26139,8674,5137,3537
15,1,CHEBOYGAN,25369,8683,4302,4381
16,1,CHIPPEWA,37711,9122,5379,3743
17,4,CLARE,30653,8505,4249,4256
18,4,CLINTON,78443,21636,16492,5144
19,1,CRAWFORD,13907,4354,2110,2244
20,1,DELTA,35965,11121,6436,4685
21,1,DICKINSON,25415,8580,3923,4657
22,7,EATON,109027,27609,24938,2671
23,1,EMMET,33193,10616,6972,3644
24,5,GENESEE,407385,84175,102751,-18576
25,4,GLADWIN,25234,8124,3794,4330
26,1,GOGEBIC,15342,4018,2925,1093
27,1,GD. TRAVERSE,91807,27413,20965,6448
28,4,GRATIOT,41018,9880,5666,4214
29,7,HILLSDALE,45879,14095,4799,9296
30,1,HOUGHTON,36305,8475,6018,2457
31,10,HURON,31280,10692,4579,6113
32,8,INGHAM,290186,43868,79110,-35242
33,3,IONIA,64291,16635,8352,8283
34,5,IOSCO,25162,8345,4345,4000
35,1,IRON,11124,3675,2004,1671
36,4,ISABELLA,71063,12338,11404,934
37,7,JACKSON,158640,39793,25795,13998
38,6,KALAMAZOO,262985,51034,67148,-16114
39,1,KALKASKA,17634,6116,2280,3836
40,3,KENT,648594,148180,138683,9497
41,1,KEWEENAW,2105,814,527,287
42,2,LAKE,12013,3159,1939,1220
43,10,LAPEER,88174,30037,12734,17303
44,1,LEELANAU,21657,7239,6774,465
45,7,LENAWEE,98623,26430,16750,9680
46,8,LIVINGSTON,189651,65680,34384,31296
47,1,LUCE,6358,1756,681,1075
48,1,MACKINAC,10712,3744,2085,1659
49,9,MACOMB,871375,224665,176317,48348
50,1,MANISTEE,24427,6915,4979,1936
51,1,MARQUETTE,66502,14646,16042,-1396
52,2,MASON,29073,8505,5281,3224
53,4,MECOSTA,43391,10305,5827,4478
54,1,MENOMINEE,23046,6702,3539,3163
55,4,MIDLAND,83411,23846,15635,8211
56,4,MISSAUKEE,14998,5386,1565,3821
57,7,MONROE,149649,43261,26863,16398
58,4,MONTCALM,63550,16907,7874,9033
59,1,MONTMORENCY,9250,3498,1287,2211
60,2,MUSKEGON,173693,36127,37304,-1177
61,2,NEWAYGO,48242,15173,6212,8961
62,11,OAKLAND,1250836,289203,343070,-53867
63,2,OCEANA,26442,7228,3973,3255
64,4,OGEMAW,20981,6827,3030,3797
65,1,ONTONAGON,5881,2066,1176,890
66,4,OSCEOLA,23260,7336,2705,4631
67,1,OSCODA,8287,2843,1044,1799
68,1,OTSEGO,24538,8266,3556,4710
69,2,OTTAWA,286383,88467,44973,43494
70,1,PRESQUE ISLE,12791,4488,2400,2088
71,4,ROSCOMMON,23895,8141,4287,3854
72,4,SAGINAW,191934,45469,44396,1073
73,10,ST. CLAIR,159350,49051,24553,24498
74,6,ST. JOSEPH,60947,14884,7526,7358
75,10,SANILAC,41269,13446,4873,8573
76,1,SCHOOLCRAFT,8049,2556,1369,1187
77,4,SHIAWASSEE,68446,19230,12546,6684
78,10,TUSCOLA,52764,17102,7429,9673
79,6,VAN BUREN,75353,17890,13258,4632
80,12,WASHTENAW,367627,50631,128483,-77852
81,13,WAYNE,1753616,228993,519444,-290451
82,4,WEXFORD,33276,10000,4436,5564
